tile_x,tile_y,zoom,yard_name
9010,4811,14,Yard
9010,4810,14,Yard
9011,4811,14,Yard
9010,4812,14,Yard
9009,4811,14,Yard
9010,4809,14,Yard
9011,4810,14,Yard
9009,4810,14,Yard
9012,4811,14,Yard
9011,4812,14,Yard
9010,4813,14,Yard
9009,4809,14,Yard
9008,4810,14,Yard
9013,4811,14,Yard
9012,4812,14,Yard
9011,4813,14,Yard
9010,4814,14,Yard
9009,4813,14,Yard
9009,4808,14,Yard
9013,4810,14,Yard
9014,4811,14,Yard
9013,4812,14,Yard
9012,4813,14,Yard
9011,4814,14,Yard
9010,4815,14,Yard
9014,4810,14,Yard
9014,4812,14,Yard
9013,4813,14,Yard
9012,4814,14,Yard
9011,4815,14,Yard
9010,4816,14,Yard
9009,4815,14,Yard
9014,4809,14,Yard
9013,4814,14,Yard
9012,4815,14,Yard
9011,4816,14,Yard
9010,4817,14,Yard
9009,4816,14,Yard
9014,4808,14,Yard
9015,4809,14,Yard
9014,4814,14,Yard
9013,4815,14,Yard
9012,4816,14,Yard
9011,4817,14,Yard
9015,4808,14,Yard
9014,4815,14,Yard
9013,4816,14,Yard
9012,4817,14,Yard
9016,4808,14,Yard
9015,4815,14,Yard
9014,4816,14,Yard
9015,4816,14,Yard
9014,4817,14,Yard
9015,4817,14,Yard
9016,4817,14,Yard
9015,4818,14,Yard
