tile_x,tile_y,zoom,inside_polygon
8490,5787,14,0
8490,5788,14,0
8490,5789,14,0
8490,5790,14,0
8490,5791,14,0
8490,5792,14,0
8490,5793,14,1
8490,5794,14,1
8490,5795,14,0
8490,5796,14,0
8490,5797,14,0
8490,5798,14,0
8490,5799,14,0
8491,5787,14,0
8491,5788,14,0
8491,5789,14,0
8491,5790,14,0
8491,5791,14,0
8491,5792,14,0
8491,5793,14,1
8491,5794,14,1
8491,5795,14,0
8491,5796,14,0
8491,5797,14,0
8491,5798,14,0
8491,5799,14,0
8492,5787,14,0
8492,5788,14,0
8492,5789,14,0
8492,5790,14,0
8492,5791,14,0
8492,5792,14,1
8492,5793,14,1
8492,5794,14,0
8492,5795,14,0
8492,5796,14,0
8492,5797,14,0
8492,5798,14,0
8492,5799,14,0
8493,5787,14,0
8493,5788,14,0
8493,5789,14,0
8493,5790,14,0
8493,5791,14,0
8493,5792,14,1
8493,5793,14,1
8493,5794,14,1
8493,5795,14,0
8493,5796,14,0
8493,5797,14,0
8493,5798,14,0
8493,5799,14,0
8494,5787,14,0
8494,5788,14,0
8494,5789,14,0
8494,5790,14,0
8494,5791,14,0
8494,5792,14,0
8494,5793,14,1
8494,5794,14,1
8494,5795,14,0
8494,5796,14,0
8494,5797,14,0
8494,5798,14,0
8494,5799,14,0
8495,5787,14,0
8495,5788,14,0
8495,5789,14,0
8495,5790,14,0
8495,5791,14,0
8495,5792,14,0
8495,5793,14,0
8495,5794,14,0
8495,5795,14,0
8495,5796,14,0
8495,5797,14,0
8495,5798,14,0
8495,5799,14,0
8496,5787,14,0
8496,5788,14,0
8496,5789,14,0
8496,5790,14,0
8496,5791,14,0
8496,5792,14,0
8496,5793,14,0
8496,5794,14,0
8496,5795,14,0
8496,5796,14,0
8496,5797,14,0
8496,5798,14,0
8496,5799,14,0
8497,5787,14,0
8497,5788,14,0
8497,5789,14,0
8497,5790,14,0
8497,5791,14,0
8497,5792,14,0
8497,5793,14,0
8497,5794,14,0
8497,5795,14,0
8497,5796,14,0
8497,5797,14,0
8497,5798,14,0
8497,5799,14,0
