tile_x,tile_y,zoom,inside_polygon
8999,4785,14,0
8999,4786,14,0
8999,4787,14,0
8999,4788,14,0
8999,4789,14,0
8999,4790,14,0
8999,4791,14,0
8999,4792,14,0
8999,4793,14,0
8999,4794,14,0
8999,4795,14,0
8999,4796,14,0
8999,4797,14,0
8999,4798,14,0
8999,4799,14,0
8999,4800,14,0
8999,4801,14,0
8999,4802,14,0
8999,4803,14,0
8999,4804,14,0
8999,4805,14,0
8999,4806,14,0
8999,4807,14,0
8999,4808,14,0
8999,4809,14,0
8999,4810,14,0
8999,4811,14,0
8999,4812,14,0
8999,4813,14,0
8999,4814,14,0
8999,4815,14,0
8999,4816,14,0
8999,4817,14,0
8999,4818,14,0
8999,4819,14,0
8999,4820,14,0
8999,4821,14,0
8999,4822,14,0
8999,4823,14,0
8999,4824,14,0
8999,4825,14,0
9000,4785,14,0
9000,4786,14,0
9000,4787,14,0
9000,4788,14,0
9000,4789,14,0
9000,4790,14,0
9000,4791,14,0
9000,4792,14,0
9000,4793,14,0
9000,4794,14,0
9000,4795,14,0
9000,4796,14,0
9000,4797,14,0
9000,4798,14,0
9000,4799,14,0
9000,4800,14,0
9000,4801,14,0
9000,4802,14,0
9000,4803,14,0
9000,4804,14,0
9000,4805,14,0
9000,4806,14,0
9000,4807,14,0
9000,4808,14,0
9000,4809,14,0
9000,4810,14,0
9000,4811,14,0
9000,4812,14,0
9000,4813,14,0
9000,4814,14,0
9000,4815,14,0
9000,4816,14,0
9000,4817,14,0
9000,4818,14,0
9000,4819,14,0
9000,4820,14,0
9000,4821,14,0
9000,4822,14,0
9000,4823,14,0
9000,4824,14,0
9000,4825,14,0
9001,4785,14,0
9001,4786,14,0
9001,4787,14,0
9001,4788,14,0
9001,4789,14,0
9001,4790,14,0
9001,4791,14,0
9001,4792,14,0
9001,4793,14,0
9001,4794,14,0
9001,4795,14,0
9001,4796,14,0
9001,4797,14,0
9001,4798,14,0
9001,4799,14,0
9001,4800,14,0
9001,4801,14,0
9001,4802,14,0
9001,4803,14,0
9001,4804,14,0
9001,4805,14,0
9001,4806,14,0
9001,4807,14,0
9001,4808,14,0
9001,4809,14,0
9001,4810,14,0
9001,4811,14,0
9001,4812,14,0
9001,4813,14,0
9001,4814,14,0
9001,4815,14,0
9001,4816,14,0
9001,4817,14,0
9001,4818,14,0
9001,4819,14,0
9001,4820,14,0
9001,4821,14,0
9001,4822,14,0
9001,4823,14,0
9001,4824,14,0
9001,4825,14,0
9002,4785,14,0
9002,4786,14,0
9002,4787,14,0
9002,4788,14,0
9002,4789,14,0
9002,4790,14,0
9002,4791,14,0
9002,4792,14,0
9002,4793,14,0
9002,4794,14,0
9002,4795,14,0
9002,4796,14,0
9002,4797,14,0
9002,4798,14,0
9002,4799,14,0
9002,4800,14,0
9002,4801,14,0
9002,4802,14,0
9002,4803,14,0
9002,4804,14,0
9002,4805,14,0
9002,4806,14,1
9002,4807,14,1
9002,4808,14,0
9002,4809,14,0
9002,4810,14,0
9002,4811,14,0
9002,4812,14,0
9002,4813,14,0
9002,4814,14,0
9002,4815,14,0
9002,4816,14,0
9002,4817,14,0
9002,4818,14,0
9002,4819,14,0
9002,4820,14,0
9002,4821,14,0
9002,4822,14,0
9002,4823,14,0
9002,4824,14,0
9002,4825,14,0
9003,4785,14,0
9003,4786,14,0
9003,4787,14,0
9003,4788,14,0
9003,4789,14,0
9003,4790,14,0
9003,4791,14,0
9003,4792,14,0
9003,4793,14,0
9003,4794,14,0
9003,4795,14,0
9003,4796,14,0
9003,4797,14,0
9003,4798,14,0
9003,4799,14,0
9003,4800,14,0
9003,4801,14,0
9003,4802,14,0
9003,4803,14,0
9003,4804,14,0
9003,4805,14,0
9003,4806,14,0
9003,4807,14,1
9003,4808,14,1
9003,4809,14,1
9003,4810,14,1
9003,4811,14,1
9003,4812,14,1
9003,4813,14,0
9003,4814,14,0
9003,4815,14,0
9003,4816,14,0
9003,4817,14,0
