tile_x,tile_y,zoom,yard_name
67800,46426,17,Yard
67800,46425,17,Yard
67801,46426,17,Yard
67800,46427,17,Yard
67799,46426,17,Yard
67800,46424,17,Yard
67801,46425,17,Yard
67799,46425,17,Yard
67802,46426,17,Yard
67801,46427,17,Yard
67800,46428,17,Yard
67799,46427,17,Yard
67798,46426,17,Yard
67801,46424,17,Yard
67802,46425,17,Yard
67803,46426,17,Yard
67802,46427,17,Yard
67801,46428,17,Yard
67800,46429,17,Yard
67799,46428,17,Yard
67798,46427,17,Yard
67801,46423,17,Yard
67802,46424,17,Yard
67803,46425,17,Yard
67804,46426,17,Yard
67803,46427,17,Yard
67802,46428,17,Yard
67801,46429,17,Yard
67800,46430,17,Yard
67799,46429,17,Yard
67798,46428,17,Yard
67797,46427,17,Yard
67802,46423,17,Yard
67803,46424,17,Yard
67804,46425,17,Yard
67805,46426,17,Yard
67804,46427,17,Yard
67803,46428,17,Yard
67802,46429,17,Yard
67801,46430,17,Yard
67800,46431,17,Yard
67799,46430,17,Yard
67798,46429,17,Yard
67797,46428,17,Yard
67796,46427,17,Yard
67802,46422,17,Yard
67803,46423,17,Yard
67804,46424,17,Yard
67805,46425,17,Yard
67806,46426,17,Yard
67805,46427,17,Yard
67804,46428,17,Yard
67803,46429,17,Yard
67802,46430,17,Yard
67801,46431,17,Yard
67800,46432,17,Yard
67799,46431,17,Yard
67798,46430,17,Yard
67797,46429,17,Yard
67796,46428,17,Yard
67796,46426,17,Yard
67795,46427,17,Yard
67802,46421,17,Yard
67803,46422,17,Yard
67804,46423,17,Yard
67805,46424,17,Yard
67806,46425,17,Yard
67807,46426,17,Yard
67806,46427,17,Yard
67805,46428,17,Yard
67804,46429,17,Yard
67803,46430,17,Yard
67802,46431,17,Yard
67801,46432,17,Yard
67800,46433,17,Yard
67799,46432,17,Yard
67798,46431,17,Yard
67797,46430,17,Yard
67796,46429,17,Yard
67802,46420,17,Yard
67803,46421,17,Yard
67801,46421,17,Yard
67804,46422,17,Yard
67805,46423,17,Yard
67806,46424,17,Yard
67807,46425,17,Yard
67808,46426,17,Yard
67807,46427,17,Yard
67806,46428,17,Yard
67805,46429,17,Yard
67804,46430,17,Yard
67803,46431,17,Yard
67802,46432,17,Yard
67801,46433,17,Yard
67800,46434,17,Yard
67799,46433,17,Yard
67798,46432,17,Yard
67797,46431,17,Yard
67796,46430,17,Yard
67795,46429,17,Yard
67802,46419,17,Yard
67803,46420,17,Yard
67801,46420,17,Yard
67804,46421,17,Yard
67805,46422,17,Yard
67806,46423,17,Yard
67807,46424,17,Yard
67808,46425,17,Yard
67809,46426,17,Yard
67808,46427,17,Yard
67807,46428,17,Yard
67806,46429,17,Yard
67805,46430,17,Yard
67804,46431,17,Yard
67803,46432,17,Yard
67802,46433,17,Yard
67801,46434,17,Yard
67800,46435,17,Yard
67799,46434,17,Yard
67798,46433,17,Yard
67797,46432,17,Yard
67796,46431,17,Yard
67795,46430,17,Yard
67802,46418,17,Yard
67803,46419,17,Yard
67801,46419,17,Yard
67804,46420,17,Yard
67800,46420,17,Yard
67805,46421,17,Yard
67806,46422,17,Yard
67807,46423,17,Yard
67808,46424,17,Yard
67809,46425,17,Yard
67810,46426,17,Yard
67809,46427,17,Yard
67808,46428,17,Yard
67807,46429,17,Yard
67806,46430,17,Yard
67805,46431,17,Yard
67804,46432,17,Yard
67801,46435,17,Yard
67799,46435,17,Yard
67798,46434,17,Yard
67797,46433,17,Yard
67796,46432,17,Yard
67795,46431,17,Yard
67794,46430,17,Yard
67801,46418,17,Yard
67800,46419,17,Yard
67805,46420,17,Yard
67806,46421,17,Yard
67807,46422,17,Yard
67808,46423,17,Yard
67809,46424,17,Yard
67810,46425,17,Yard
67810,46427,17,Yard
67809,46428,17,Yard
67808,46429,17,Yard
67807,46430,17,Yard
67806,46431,17,Yard
67805,46432,17,Yard
67804,46433,17,Yard
67802,46435,17,Yard
67801,46436,17,Yard
67799,46436,17,Yard
67798,46435,17,Yard
67797,46434,17,Yard
67796,46433,17,Yard
67800,46418,17,Yard
67799,46419,17,Yard
67806,46420,17,Yard
67807,46421,17,Yard
67808,46422,17,Yard
67809,46423,17,Yard
67810,46424,17,Yard
67810,46428,17,Yard
67807,46431,17,Yard
67806,46432,17,Yard
67805,46433,17,Yard
67802,46436,17,Yard
67798,46436,17,Yard
67797,46435,17,Yard
67796,46434,17,Yard
67795,46433,17,Yard
67806,46419,17,Yard
67807,46420,17,Yard
67808,46421,17,Yard
67809,46422,17,Yard
67810,46423,17,Yard
67811,46424,17,Yard
67807,46432,17,Yard
67806,46433,17,Yard
67805,46434,17,Yard
67798,46437,17,Yard
67797,46436,17,Yard
67796,46435,17,Yard
67795,46434,17,Yard
67807,46419,17,Yard
67808,46420,17,Yard
67809,46421,17,Yard
67810,46422,17,Yard
67811,46423,17,Yard
67798,46438,17,Yard
67797,46437,17,Yard
67794,46434,17,Yard
67807,46418,17,Yard
67808,46419,17,Yard
67809,46420,17,Yard
67810,46421,17,Yard
67811,46422,17,Yard
67812,46423,17,Yard
67799,46438,17,Yard
67796,46437,17,Yard
67807,46417,17,Yard
67808,46418,17,Yard
67809,46419,17,Yard
67810,46420,17,Yard
67811,46421,17,Yard
67812,46422,17,Yard
67813,46423,17,Yard
67799,46439,17,Yard
67796,46438,17,Yard
67807,46416,17,Yard
67808,46417,17,Yard
67806,46417,17,Yard
67809,46418,17,Yard
67810,46419,17,Yard
67811,46420,17,Yard
67812,46421,17,Yard
67813,46422,17,Yard
67799,46440,17,Yard
67795,46438,17,Yard
67807,46415,17,Yard
67808,46416,17,Yard
67806,46416,17,Yard
67809,46417,17,Yard
67810,46418,17,Yard
67811,46419,17,Yard
67812,46420,17,Yard
67813,46421,17,Yard
67814,46422,17,Yard
67795,46439,17,Yard
67808,46415,17,Yard
67806,46415,17,Yard
67809,46416,17,Yard
67805,46416,17,Yard
67810,46417,17,Yard
67811,46418,17,Yard
67812,46419,17,Yard
67813,46420,17,Yard
67814,46421,17,Yard
67794,46439,17,Yard
67805,46415,17,Yard
67811,46417,17,Yard
67812,46418,17,Yard
67813,46419,17,Yard
67814,46420,17,Yard
67794,46440,17,Yard
67805,46414,17,Yard
67813,46418,17,Yard
67814,46419,17,Yard
67815,46420,17,Yard
67794,46441,17,Yard
67793,46440,17,Yard
67813,46417,17,Yard
67814,46418,17,Yard
67815,46419,17,Yard
67795,46441,17,Yard
67792,46440,17,Yard
67814,46417,17,Yard
67815,46418,17,Yard
67816,46419,17,Yard
67792,46439,17,Yard
67814,46416,17,Yard
67815,46417,17,Yard
67816,46418,17,Yard
67817,46419,17,Yard
67815,46416,17,Yard
67816,46417,17,Yard
67817,46418,17,Yard
67817,46420,17,Yard
