tile_x,tile_y,zoom,inside_polygon
67716,46314,17,0
67716,46315,17,0
67716,46316,17,0
67716,46317,17,0
67716,46318,17,0
67716,46319,17,0
67716,46320,17,0
67716,46321,17,0
67716,46322,17,0
67716,46323,17,0
67716,46324,17,0
67716,46325,17,0
67716,46326,17,0
67716,46327,17,0
67716,46328,17,0
67716,46329,17,0
67716,46330,17,0
67716,46331,17,0
67716,46332,17,0
67716,46333,17,0
67716,46334,17,0
67716,46335,17,0
67716,46336,17,0
67716,46337,17,0
67716,46338,17,0
67716,46339,17,0
67716,46340,17,0
67716,46341,17,0
67716,46342,17,0
67716,46343,17,0
67716,46344,17,0
67716,46345,17,0
67716,46346,17,0
67716,46347,17,0
67716,46348,17,0
67716,46349,17,0
67716,46350,17,0
67716,46351,17,0
67716,46352,17,0
67716,46353,17,0
67716,46354,17,0
67716,46355,17,0
67716,46356,17,0
67716,46357,17,0
67716,46358,17,0
67716,46359,17,0
67716,46360,17,0
67716,46361,17,0
67716,46362,17,0
67716,46363,17,0
67716,46364,17,0
67716,46365,17,0
67716,46366,17,0
67716,46367,17,0
67716,46368,17,0
67716,46369,17,0
67716,46370,17,0
67716,46371,17,0
67716,46372,17,0
67716,46373,17,0
67716,46374,17,0
67716,46375,17,0
67716,46376,17,0
67716,46377,17,0
67716,46378,17,0
67716,46379,17,0
67716,46380,17,0
67716,46381,17,0
67716,46382,17,0
67716,46383,17,0
67716,46384,17,0
67716,46385,17,0
67716,46386,17,0
67716,46387,17,0
67716,46388,17,0
67716,46389,17,0
67716,46390,17,0
67716,46391,17,0
67716,46392,17,0
67716,46393,17,0
67716,46394,17,0
67716,46395,17,0
67716,46396,17,0
67716,46397,17,0
67716,46398,17,0
67716,46399,17,0
67716,46400,17,0
67716,46401,17,0
67716,46402,17,0
67716,46403,17,0
67716,46404,17,0
67716,46405,17,0
67716,46406,17,0
67716,46407,17,0
67716,46408,17,0
67716,46409,17,0
67716,46410,17,0
67716,46411,17,0
67716,46412,17,0
67716,46413,17,0
67716,46414,17,0
67716,46415,17,0
67716,46416,17,0
67716,46417,17,0
67716,46418,17,0
67716,46419,17,0
67716,46420,17,0
67716,46421,17,0
67716,46422,17,0
67716,46423,17,0
67716,46424,17,0
67716,46425,17,0
67716,46426,17,0
67716,46427,17,0
67716,46428,17,0
67716,46429,17,0
67716,46430,17,0
67716,46431,17,0
67716,46432,17,0
67716,46433,17,0
67716,46434,17,0
67716,46435,17,0
67716,46436,17,0
67716,46437,17,0
67716,46438,17,0
67716,46439,17,0
67716,46440,17,0
67716,46441,17,0
67716,46442,17,0
67716,46443,17,0
67716,46444,17,0
67716,46445,17,0
67716,46446,17,0
67716,46447,17,0
67716,46448,17,0
67716,46449,17,0
67716,46450,17,0
67716,46451,17,0
67716,46452,17,0
67716,46453,17,0
67716,46454,17,0
67716,46455,17,0
67716,46456,17,0
67716,46457,17,0
67716,46458,17,0
67716,46459,17,0
67716,46460,17,0
67716,46461,17,0
67716,46462,17,0
67716,46463,17,0
67716,46464,17,0
67716,46465,17,0
67716,46466,17,0
67716,46467,17,0
67716,46468,17,0
67716,46469,17,0
67716,46470,17,0
67716,46471,17,0
67716,46472,17,0
67716,46473,17,0
67716,46474,17,0
67716,46475,17,0
67716,46476,17,0
67716,46477,17,0
67716,46478,17,0
67716,46479,17,0
67716,46480,17,0
67716,46481,17,0
67716,46482,17,0
67716,46483,17,0
67716,46484,17,0
67716,46485,17,0
67716,46486,17,0
67716,46487,17,0
67716,46488,17,0
67716,46489,17,0
67716,46490,17,0
67716,46491,17,0
67716,46492,17,0
67716,46493,17,0
67716,46494,17,0
67716,46495,17,0
67716,46496,17,0
67716,46497,17,0
67716,46498,17,0
67716,46499,17,0
67716,46500,17,0
67716,46501,17,0
67716,46502,17,0
67716,46503,17,0
67716,46504,17,0
67716,46505,17,0
67716,46506,17,0
67716,46507,17,0
67716,46508,17,0
67716,46509,17,0
67716,46510,17,0
67716,46511,17,0
67716,46512,17,0
67716,46513,17,0
67716,46514,17,0
67716,46515,17,0
67716,46516,17,0
67716,46517,17,0
67716,46518,17,0
67716,46519,17,0
67716,46520,17,0
67716,46521,17,0
67716,46522,17,0
67716,46523,17,0
67716,46524,17,0
67716,46525,17,0
67716,46526,17,0
67716,46527,17,0
67716,46528,17,0
67716,46529,17,0
67716,46530,17,0
67716,46531,17,0
67716,46532,17,0
67716,46533,17,0
67716,46534,17,0
67716,46535,17,0
67716,46536,17,0
67716,46537,17,0
67716,46538,17,0
67716,46539,17,0
67716,46540,17,0
67716,46541,17,0
67716,46542,17,0
67716,46543,17,0
67716,46544,17,0
67716,46545,17,0
67716,46546,17,0
67716,46547,17,0
67716,46548,17,0
67716,46549,17,0
67716,46550,17,0
67716,46551,17,0
67716,46552,17,0
67716,46553,17,0
67716,46554,17,0
67716,46555,17,0
67716,46556,17,0
67716,46557,17,0
67716,46558,17,0
67716,46559,17,0
67716,46560,17,0
67716,46561,17,0
67716,46562,17,0
67716,46563,17,0
67716,46564,17,0
67716,46565,17,0
67716,46566,17,0
67716,46567,17,0
67716,46568,17,0
67716,46569,17,0
67716,46570,17,0
67716,46571,17,0
67716,46572,17,0
67716,46573,17,0
67716,46574,17,0
67716,46575,17,0
67716,46576,17,0
67716,46577,17,0
67717,46314,17,0
67717,46315,17,0
67717,46316,17,0
67717,46317,17,0
67717,46318,17,0
67717,46319,17,0
67717,46320,17,0
67717,46321,17,0
67717,46322,17,0
67717,46323,17,0
67717,46324,17,0
67717,46325,17,0
67717,46326,17,0
67717,46327,17,0
67717,46328,17,0
67717,46329,17,0
67717,46330,17,0
67717,46331,17,0
67717,46332,17,0
67717,46333,17,0
67717,46334,17,0
67717,46335,17,0
67717,46336,17,0
67717,46337,17,0
67717,46338,17,0
67717,46339,17,0
67717,46340,17,0
67717,46341,17,0
67717,46342,17,0
67717,46343,17,0
67717,46344,17,0
67717,46345,17,0
67717,46346,17,0
67717,46347,17,0
67717,46348,17,0
67717,46349,17,0
67717,46350,17,0
67717,46351,17,0
67717,46352,17,0
67717,46353,17,0
67717,46354,17,0
67717,46355,17,0
67717,46356,17,0
67717,46357,17,0
67717,46358,17,0
67717,46359,17,0
67717,46360,17,0
67717,46361,17,0
67717,46362,17,0
67717,46363,17,0
67717,46364,17,0
67717,46365,17,0
67717,46366,17,0
67717,46367,17,0
67717,46368,17,0
67717,46369,17,0
67717,46370,17,0
67717,46371,17,0
67717,46372,17,0
67717,46373,17,0
67717,46374,17,0
67717,46375,17,0
67717,46376,17,0
67717,46377,17,0
67717,46378,17,0
67717,46379,17,0
67717,46380,17,0
67717,46381,17,0
67717,46382,17,0
67717,46383,17,0
67717,46384,17,0
67717,46385,17,0
67717,46386,17,0
67717,46387,17,0
67717,46388,17,0
67717,46389,17,0
67717,46390,17,0
67717,46391,17,0
67717,46392,17,0
67717,46393,17,0
67717,46394,17,0
67717,46395,17,0
67717,46396,17,0
67717,46397,17,0
67717,46398,17,0
67717,46399,17,0
67717,46400,17,0
67717,46401,17,0
67717,46402,17,0
67717,46403,17,0
67717,46404,17,0
67717,46405,17,0
67717,46406,17,0
67717,46407,17,0
67717,46408,17,0
67717,46409,17,0
67717,46410,17,0
67717,46411,17,0
67717,46412,17,0
67717,46413,17,0
67717,46414,17,0
67717,46415,17,0
67717,46416,17,0
67717,46417,17,0
67717,46418,17,0
67717,46419,17,0
67717,46420,17,0
67717,46421,17,0
67717,46422,17,0
67717,46423,17,0
67717,46424,17,0
67717,46425,17,0
67717,46426,17,0
67717,46427,17,0
67717,46428,17,0
67717,46429,17,0
67717,46430,17,0
67717,46431,17,0
67717,46432,17,0
67717,46433,17,0
67717,46434,17,0
67717,46435,17,0
67717,46436,17,0
67717,46437,17,0
67717,46438,17,0
67717,46439,17,0
